function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_time,cum_time_per_call
features.py:71(normalize),50000,20,alphabeta,50000,0.21738,4.3476e-06,0.691928,1.383856e-05
features.py:103(triangle_variance_space),50000,20,alphabeta,50000,0.225991,4.51982e-06,0.225991,4.51982e-06
features.py:18(<module>),50000,20,alphabeta,1,8e-06,8e-06,0.221106,0.221106
extract.py:48(request_tree),50000,20,alphabeta,50000,0.045119,9.0238e-07,5.190583999999999,0.00010381167999999999
extract.py:70(fit_pca),50000,20,alphabeta,50000,0.11208299999999999,2.24166e-06,15.564193999999999,0.00031128388
extract.py:87(alphabeta_features),50000,20,alphabeta,50001,1.111575,2.223105537889242e-05,22.798128,0.00045595344093118137
extract.py:14(<module>),50000,20,alphabeta,1,2.2e-05,2.2e-05,0.6383559999999999,0.6383559999999999
extract.py:33(compute_tree),50000,20,alphabeta,1,0.011368,0.011368,0.013855,0.013855
__init__.py:4(<module>),50000,20,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,20,alphabeta,1,0.001524,0.001524,21.940459999999998,21.940459999999998
io.py:82(write_features),50000,20,alphabeta,1,0.10830999999999999,0.10830999999999999,23.907311999999997,23.907311999999997
io.py:5(<module>),50000,20,alphabeta,1,9.999999999999999e-06,9.999999999999999e-06,0.012884999999999999,0.012884999999999999
features.py:71(normalize),100000,100,eigenvalues,100000,0.35861099999999996,3.5861099999999997e-06,1.136333,1.136333e-05
features.py:103(triangle_variance_space),100000,100,eigenvalues,100000,0.383695,3.83695e-06,0.383695,3.83695e-06
features.py:146(curvature_change),100000,100,eigenvalues,100000,0.022191,2.2190999999999998e-07,0.022191,2.2190999999999998e-07
features.py:164(linearity),100000,100,eigenvalues,100000,0.092003,9.200300000000001e-07,0.092003,9.200300000000001e-07
features.py:182(planarity),100000,100,eigenvalues,100000,0.071626,7.1626e-07,0.071626,7.1626e-07
features.py:200(scattering),100000,100,eigenvalues,100000,0.045292,4.5292e-07,0.045292,4.5292e-07
features.py:219(omnivariance),100000,100,eigenvalues,100000,0.170594,1.7059399999999999e-06,0.709681,7.09681e-06
features.py:237(anisotropy),100000,100,eigenvalues,100000,0.08473399999999999,8.473399999999999e-07,0.08473399999999999,8.473399999999999e-07
features.py:255(eigenentropy),100000,100,eigenvalues,100000,0.415427,4.15427e-06,0.948135,9.48135e-06
features.py:271(val_sum),100000,100,eigenvalues,100000,0.057076999999999996,5.707699999999999e-07,0.48612,4.8612e-06
features.py:18(<module>),100000,100,eigenvalues,1,9e-06,9e-06,0.215636,0.215636
extract.py:48(request_tree),100000,100,eigenvalues,100000,0.075608,7.560799999999999e-07,11.294098,0.00011294098
extract.py:70(fit_pca),100000,100,eigenvalues,100000,0.18458,1.8458e-06,26.650384,0.00026650383999999997
extract.py:135(eigen_features),100000,100,eigenvalues,100001,2.848162,2.8481335186648132e-05,44.801649999999995,0.00044801201987980117
extract.py:14(<module>),100000,100,eigenvalues,1,2.7e-05,2.7e-05,0.615923,0.615923
