function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_time,cum_time_per_call
features.py:12(accumulation_2d_neighborhood),50000,50,full,1,0.000122,0.000122,0.0638,0.0638
features.py:54(normalized_eigenvalues),50000,50,full,100000,0.5353629999999999,5.3536299999999994e-06,1.0344929999999999,1.0344929999999999e-05
features.py:72(triangle_variance_space),50000,50,full,50000,0.309954,6.19908e-06,0.79324,1.5864799999999998e-05
features.py:115(compute_3D_features),50000,50,full,50000,0.604414,1.208828e-05,1.865289,3.7305779999999996e-05
features.py:148(compute_2D_features),50000,50,full,50000,0.22749599999999998,4.549919999999999e-06,0.470269,9.40538e-06
features.py:168(compute_3D_properties),50000,50,full,50000,0.395501,7.91002e-06,4.34708,8.69416e-05
features.py:211(<listcomp>),50000,50,full,50000,5.208502,0.00010417004,5.484490999999999,0.00010968981999999999
features.py:195(compute_2D_properties),50000,50,full,50000,0.314691,6.29382e-06,5.909695999999999,0.00011819391999999998
features.py:218(verticality_coefficient),50000,50,full,50000,0.143536,2.87072e-06,0.162933,3.25866e-06
features.py:6(<module>),50000,50,full,1,7e-06,7e-06,0.28568299999999996,0.28568299999999996
extract.py:39(build_neighborhood),50000,50,full,50000,0.24745899999999998,4.9491799999999994e-06,12.711986,0.00025423972
extract.py:62(fitted_pca),50000,50,full,100000,0.277875,2.77875e-06,35.303999,0.00035303999
extract.py:79(retrieve_accumulation_features),50000,50,full,50000,2.264945,4.52989e-05,168.31905999999998,0.0033663811999999995
extract.py:240(all_features),50000,50,full,50001,3.133888,6.26765064698706e-05,233.397269,0.004667852022959541
extract.py:14(<module>),50000,50,full,1,2.7e-05,2.7e-05,0.7874369999999999,0.7874369999999999
extract.py:33(compute_tree),50000,50,full,1,0.012367999999999999,0.012367999999999999,0.012712,0.012712
__init__.py:4(<module>),50000,50,full,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,50,full,1,0.0018369999999999999,0.0018369999999999999,23.574385,23.574385
io.py:82(write_features),50000,50,full,1,0.268067,0.268067,237.62235099999998,237.62235099999998
io.py:5(<module>),50000,50,full,1,1.1e-05,1.1e-05,0.015964,0.015964
features.py:12(accumulation_2d_neighborhood),5000,50,full,1,0.00012299999999999998,0.00012299999999999998,0.045293,0.045293
features.py:54(normalized_eigenvalues),5000,50,full,10000,0.054002999999999995,5.4003e-06,0.106208,1.06208e-05
features.py:72(triangle_variance_space),5000,50,full,5000,0.031592,6.3184e-06,0.081186,1.6237199999999998e-05
features.py:115(compute_3D_features),5000,50,full,5000,0.061548,1.23096e-05,0.189882,3.79764e-05
features.py:148(compute_2D_features),5000,50,full,5000,0.023055,4.6109999999999996e-06,0.047742,9.5484e-06
features.py:168(compute_3D_properties),5000,50,full,5000,0.038631,7.726199999999999e-06,0.442538,8.85076e-05
features.py:211(<listcomp>),5000,50,full,5000,0.529289,0.0001058578,0.556963,0.0001113926
features.py:195(compute_2D_properties),5000,50,full,5000,0.032154999999999996,6.430999999999999e-06,0.600444,0.0001200888
features.py:218(verticality_coefficient),5000,50,full,5000,0.014452,2.8904e-06,0.016486999999999998,3.2973999999999995e-06
features.py:6(<module>),5000,50,full,1,4.9999999999999996e-06,4.9999999999999996e-06,0.24235199999999998,0.24235199999999998
extract.py:39(build_neighborhood),5000,50,full,5000,0.028929,5.7858e-06,1.0005279999999999,0.00020010559999999997
extract.py:62(fitted_pca),5000,50,full,10000,0.027801,2.7801e-06,3.562893,0.00035628929999999997
extract.py:79(retrieve_accumulation_features),5000,50,full,5000,0.21756,4.3512e-05,16.287677,0.0032575354
extract.py:240(all_features),5000,50,full,5001,0.312008,6.238912217556489e-05,22.618199999999998,0.004522735452909417
extract.py:14(<module>),5000,50,full,1,2.4e-05,2.4e-05,0.785654,0.785654
extract.py:33(compute_tree),5000,50,full,1,0.00047599999999999997,0.00047599999999999997,0.0005099999999999999,0.0005099999999999999
__init__.py:4(<module>),5000,50,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,50,full,1,0.0021379999999999997,0.0021379999999999997,24.097877,24.097877
io.py:82(write_features),5000,50,full,1,0.026404,0.026404,23.054857,23.054857
io.py:5(<module>),5000,50,full,1,8e-06,8e-06,0.013064,0.013064
features.py:54(normalized_eigenvalues),50000,50,alphabeta,50000,0.268306,5.36612e-06,0.580742,1.161484e-05
features.py:72(triangle_variance_space),50000,50,alphabeta,50000,0.26841899999999996,5.36838e-06,0.8491609999999999,1.698322e-05
features.py:6(<module>),50000,50,alphabeta,1,8e-06,8e-06,0.29866699999999996,0.29866699999999996
extract.py:39(build_neighborhood),50000,50,alphabeta,50000,0.18162799999999998,3.6325599999999995e-06,10.432209,0.00020864418
extract.py:62(fitted_pca),50000,50,alphabeta,50000,0.122593,2.45186e-06,16.864463,0.00033728926
extract.py:106(alphabeta_features),50000,50,alphabeta,50001,1.3457869999999998,2.6915201695966077e-05,29.503449,0.0005900571788564229
extract.py:14(<module>),50000,50,alphabeta,1,2.8e-05,2.8e-05,0.7770849999999999,0.7770849999999999
extract.py:33(compute_tree),50000,50,alphabeta,1,0.011087,0.011087,0.011829,0.011829
__init__.py:4(<module>),50000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,50,alphabeta,1,0.002069,0.002069,24.490783999999998,24.490783999999998
io.py:82(write_features),50000,50,alphabeta,1,0.125833,0.125833,30.956442,30.956442
io.py:5(<module>),50000,50,alphabeta,1,9e-06,9e-06,0.013457,0.013457
features.py:54(normalized_eigenvalues),10000,50,alphabeta,10000,0.051705999999999995,5.170599999999999e-06,0.109066,1.09066e-05
features.py:72(triangle_variance_space),10000,50,alphabeta,10000,0.052558,5.2558e-06,0.161624,1.61624e-05
features.py:6(<module>),10000,50,alphabeta,1,7e-06,7e-06,0.234141,0.234141
extract.py:39(build_neighborhood),10000,50,alphabeta,10000,0.033590999999999996,3.3590999999999997e-06,1.610228,0.0001610228
extract.py:62(fitted_pca),10000,50,alphabeta,10000,0.022865,2.2865e-06,3.239312,0.00032393119999999997
