function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_time,cum_time_per_call
features.py:53(normalized_eigenvalues),50000,20,alphabeta,50000,0.277713,5.55426e-06,0.571774,1.143548e-05
features.py:71(triangle_variance_space),50000,20,alphabeta,50000,0.27760199999999996,5.552039999999999e-06,0.8493759999999999,1.6987519999999998e-05
features.py:6(<module>),50000,20,alphabeta,1,8e-06,8e-06,0.307567,0.307567
extract.py:49(build_neighborhood),50000,20,alphabeta,50000,0.16569399999999998,3.3138799999999996e-06,6.253654999999999,0.0001250731
extract.py:72(fitted_pca),50000,20,alphabeta,50000,0.122791,2.45582e-06,16.790404,0.00033580808
extract.py:89(alphabeta_features),50000,20,alphabeta,50001,1.176059,2.3520709585808282e-05,25.082383,0.000501637627247455
extract.py:14(<module>),50000,20,alphabeta,1,2.6e-05,2.6e-05,0.888075,0.888075
extract.py:34(compute_tree),50000,20,alphabeta,1,0.010440999999999999,0.010440999999999999,0.012889,0.012889
__init__.py:4(<module>),50000,20,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),50000,20,alphabeta,1,0.001784,0.001784,23.295355999999998,23.295355999999998
io.py:82(write_features),50000,20,alphabeta,1,0.130454,0.130454,26.567535,26.567535
io.py:5(<module>),50000,20,alphabeta,1,9.999999999999999e-06,9.999999999999999e-06,0.013531,0.013531
features.py:53(normalized_eigenvalues),100000,100,eigenvalues,200000,0.779404,3.89702e-06,1.5139019999999999,7.569509999999999e-06
features.py:71(triangle_variance_space),100000,100,eigenvalues,100000,0.468147,4.68147e-06,1.2726709999999999,1.2726709999999999e-05
features.py:114(compute_3D_features),100000,100,eigenvalues,100000,1.021674,1.021674e-05,2.966142,2.9661420000000002e-05
features.py:6(<module>),100000,100,eigenvalues,1,6e-06,6e-06,0.23560499999999998,0.23560499999999998
extract.py:49(build_neighborhood),100000,100,eigenvalues,100000,0.264267,2.6426699999999997e-06,13.233901999999999,0.00013233901999999998
extract.py:72(fitted_pca),100000,100,eigenvalues,100000,0.213688,2.1368799999999997e-06,29.832417,0.00029832417
extract.py:132(eigen_features),100000,100,eigenvalues,100001,2.962506,2.9624763752362474e-05,50.814991,0.0005081448285517145
extract.py:14(<module>),100000,100,eigenvalues,1,2.4e-05,2.4e-05,0.659494,0.659494
extract.py:34(compute_tree),100000,100,eigenvalues,1,0.02922,0.02922,0.034529,0.034529
__init__.py:4(<module>),100000,100,eigenvalues,1,0.0,0.0,0.0,0.0
io.py:14(xyz),100000,100,eigenvalues,1,0.001777,0.001777,20.552322,20.552322
io.py:82(write_features),100000,100,eigenvalues,1,0.278443,0.278443,54.92393,54.92393
io.py:5(<module>),100000,100,eigenvalues,1,9e-06,9e-06,0.012966,0.012966
features.py:12(accumulation_2d_neighborhood),10000,100,full,1,0.000113,0.000113,0.042889,0.042889
features.py:53(normalized_eigenvalues),10000,100,full,20000,0.11169899999999999,5.58495e-06,0.21538,1.0769e-05
features.py:71(triangle_variance_space),10000,100,full,10000,0.057532,5.7532e-06,0.15708999999999998,1.5708999999999998e-05
features.py:114(compute_3D_features),10000,100,full,10000,0.12311899999999999,1.23119e-05,0.37834199999999996,3.78342e-05
features.py:147(compute_2D_features),10000,100,full,10000,0.045945,4.5945e-06,0.097152,9.7152e-06
features.py:167(compute_3D_properties),10000,100,full,10000,0.074418,7.4418e-06,0.891338,8.913379999999999e-05
features.py:210(<listcomp>),10000,100,full,10000,2.139145,0.0002139145,2.242919,0.0002242919
features.py:194(compute_2D_properties),10000,100,full,10000,0.062962,6.296200000000001e-06,2.341283,0.00023412829999999997
features.py:217(verticality_coefficient),10000,100,full,10000,0.027929,2.7929e-06,0.032091999999999996,3.2091999999999997e-06
features.py:6(<module>),10000,100,full,1,9e-06,9e-06,0.282605,0.282605
extract.py:49(build_neighborhood),10000,100,full,10000,0.041673999999999996,4.167399999999999e-06,1.4752239999999999,0.00014752239999999998
extract.py:72(fitted_pca),10000,100,full,20000,0.05099,2.5495e-06,7.100738,0.00035503689999999996
extract.py:191(all_features),10000,100,full,10001,0.5604129999999999,5.603569643035696e-05,13.140782999999999,0.001313946905309469
extract.py:14(<module>),10000,100,full,1,2.8e-05,2.8e-05,0.797349,0.797349
extract.py:34(compute_tree),10000,100,full,1,0.001169,0.001169,0.001536,0.001536
__init__.py:4(<module>),10000,100,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),10000,100,full,1,0.002121,0.002121,25.176658,25.176658
io.py:82(write_features),10000,100,full,1,0.048616,0.048616,13.966211999999999,13.966211999999999
io.py:5(<module>),10000,100,full,1,9.999999999999999e-06,9.999999999999999e-06,0.013104,0.013104
features.py:12(accumulation_2d_neighborhood),100000,20,full,1,0.000112,0.000112,0.078077,0.078077
features.py:53(normalized_eigenvalues),100000,20,full,200000,0.902381,4.511905e-06,1.773909,8.869545e-06
features.py:71(triangle_variance_space),100000,20,full,100000,0.475442,4.7544199999999995e-06,1.3002049999999998,1.3002049999999999e-05
features.py:114(compute_3D_features),100000,20,full,100000,0.9933099999999999,9.9331e-06,3.113225,3.1132249999999997e-05
features.py:147(compute_2D_features),100000,20,full,100000,0.380976,3.8097599999999997e-06,0.800875,8.00875e-06
features.py:167(compute_3D_properties),100000,20,full,100000,0.586212,5.86212e-06,7.296431999999999,7.296432e-05
features.py:210(<listcomp>),100000,20,full,100000,3.964374,3.964374e-05,4.171569,4.171569e-05
features.py:194(compute_2D_properties),100000,20,full,100000,0.48715899999999995,4.871589999999999e-06,4.789681,4.789681e-05
features.py:217(verticality_coefficient),100000,20,full,100000,0.23027999999999998,2.3028e-06,0.2602,2.602e-06
features.py:6(<module>),100000,20,full,1,4e-06,4e-06,0.228815,0.228815
extract.py:49(build_neighborhood),100000,20,full,100000,0.294537,2.94537e-06,11.560107,0.00011560107
extract.py:72(fitted_pca),100000,20,full,200000,0.40279699999999996,2.013985e-06,55.931526,0.00027965762999999997
extract.py:191(all_features),100000,20,full,100001,3.93484,3.9348006519934796e-05,89.601829,0.0008960093299067009
extract.py:14(<module>),100000,20,full,1,2.1e-05,2.1e-05,0.6415719999999999,0.6415719999999999
extract.py:34(compute_tree),100000,20,full,1,0.024287,0.024287,0.027735,0.027735
__init__.py:4(<module>),100000,20,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),100000,20,full,1,0.001506,0.001506,20.545545,20.545545
io.py:82(write_features),100000,20,full,1,0.383129,0.383129,96.41465,96.41465
io.py:5(<module>),100000,20,full,1,9.999999999999999e-06,9.999999999999999e-06,0.014959,0.014959
features.py:53(normalized_eigenvalues),50000,100,eigenvalues,100000,0.39123199999999997,3.9123199999999995e-06,0.7686029999999999,7.68603e-06
features.py:71(triangle_variance_space),50000,100,eigenvalues,50000,0.234237,4.68474e-06,0.6374679999999999,1.274936e-05
features.py:114(compute_3D_features),50000,100,eigenvalues,50000,0.5003029999999999,1.000606e-05,1.488165,2.97633e-05
features.py:6(<module>),50000,100,eigenvalues,1,7e-06,7e-06,0.238753,0.238753
extract.py:49(build_neighborhood),50000,100,eigenvalues,50000,0.13489199999999998,2.6978399999999997e-06,6.295449,0.00012590898
extract.py:72(fitted_pca),50000,100,eigenvalues,50000,0.106891,2.13782e-06,14.929509,0.00029859018
extract.py:132(eigen_features),50000,100,eigenvalues,50001,1.5324099999999998,3.064758704825903e-05,25.150052,0.0005029909801803964
extract.py:14(<module>),50000,100,eigenvalues,1,2.4e-05,2.4e-05,0.6817099999999999,0.6817099999999999
