function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_time,cum_time_per_call
features.py:54(normalized_eigenvalues),50000,50,alphabeta,50000,0.270234,5.4046799999999996e-06,0.569604,1.139208e-05
features.py:72(triangle_variance_space),50000,50,alphabeta,50000,0.267505,5.3501e-06,0.837109,1.674218e-05
features.py:6(<module>),50000,50,alphabeta,1,6e-06,6e-06,0.272609,0.272609
extract.py:40(build_neighborhood),50000,50,alphabeta,50000,0.15661,3.1322e-06,6.676162,0.00013352324
extract.py:63(fitted_pca),50000,50,alphabeta,50000,0.12036799999999999,2.4073599999999998e-06,16.893295,0.00033786589999999995
extract.py:107(alphabeta_features),50000,50,alphabeta,50001,1.328889,2.65772484550309e-05,25.748839,0.0005149664806703866
extract.py:14(<module>),50000,50,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.776832,0.776832
extract.py:34(compute_tree),50000,50,alphabeta,1,0.011049,0.011049,0.013384,0.013384
__init__.py:4(<module>),50000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,50,alphabeta,1,0.0017159999999999999,0.0017159999999999999,26.634629,26.634629
io.py:82(write_features),50000,50,alphabeta,1,0.134854,0.134854,27.204147,27.204147
io.py:5(<module>),50000,50,alphabeta,1,7e-06,7e-06,0.013269,0.013269
features.py:54(normalized_eigenvalues),10000,50,alphabeta,10000,0.053524999999999996,5.3525e-06,0.113469,1.13469e-05
features.py:72(triangle_variance_space),10000,50,alphabeta,10000,0.053078999999999994,5.3079e-06,0.166548,1.66548e-05
features.py:6(<module>),10000,50,alphabeta,1,8e-06,8e-06,0.24848099999999998,0.24848099999999998
extract.py:40(build_neighborhood),10000,50,alphabeta,10000,0.032782,3.2782e-06,1.1537169999999999,0.00011537169999999999
extract.py:63(fitted_pca),10000,50,alphabeta,10000,0.024392999999999998,2.4392999999999997e-06,3.3532059999999997,0.00033532059999999994
extract.py:107(alphabeta_features),10000,50,alphabeta,10001,0.252283,2.522577742225777e-05,4.92783,0.0004927337266273373
extract.py:14(<module>),10000,50,alphabeta,1,2.7e-05,2.7e-05,0.756555,0.756555
extract.py:34(compute_tree),10000,50,alphabeta,1,0.0016359999999999999,0.0016359999999999999,0.0020759999999999997,0.0020759999999999997
__init__.py:4(<module>),10000,50,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),10000,50,alphabeta,1,0.002016,0.002016,23.981572,23.981572
io.py:82(write_features),10000,50,alphabeta,1,0.026074999999999997,0.026074999999999997,5.219962,5.219962
io.py:5(<module>),10000,50,alphabeta,1,8e-06,8e-06,0.013607999999999999,0.013607999999999999
features.py:54(normalized_eigenvalues),1000,50,alphabeta,1000,0.005646,5.646e-06,0.012007,1.2007e-05
features.py:72(triangle_variance_space),1000,50,alphabeta,1000,0.005462,5.4619999999999995e-06,0.017469,1.7468999999999998e-05
features.py:6(<module>),1000,50,alphabeta,1,9.999999999999999e-06,9.999999999999999e-06,0.29689099999999996,0.29689099999999996
extract.py:40(build_neighborhood),1000,50,alphabeta,1000,0.0033309999999999998,3.331e-06,0.112442,0.000112442
extract.py:63(fitted_pca),1000,50,alphabeta,1000,0.002565,2.565e-06,0.34838399999999997,0.000348384
extract.py:107(alphabeta_features),1000,50,alphabeta,1001,0.024631999999999998,2.4607392607392604e-05,0.503104,0.0005026013986013986
extract.py:14(<module>),1000,50,alphabeta,1,3.2e-05,3.2e-05,0.810846,0.810846
extract.py:34(compute_tree),1000,50,alphabeta,1,6.7e-05,6.7e-05,0.000177,0.000177
__init__.py:4(<module>),1000,50,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),1000,50,alphabeta,1,0.001633,0.001633,25.53236,25.53236
io.py:82(write_features),1000,50,alphabeta,1,0.002839,0.002839,0.533503,0.533503
io.py:5(<module>),1000,50,alphabeta,1,9.999999999999999e-06,9.999999999999999e-06,0.014738,0.014738
features.py:54(normalized_eigenvalues),500000,50,alphabeta,500000,2.956575,5.91315e-06,6.186236999999999,1.2372474e-05
features.py:72(triangle_variance_space),500000,50,alphabeta,500000,2.8751309999999997,5.750261999999999e-06,9.061368,1.8122736e-05
features.py:6(<module>),500000,50,alphabeta,1,9e-06,9e-06,0.281615,0.281615
extract.py:40(build_neighborhood),500000,50,alphabeta,500000,1.735825,3.47165e-06,84.370041,0.000168740082
extract.py:63(fitted_pca),500000,50,alphabeta,500000,1.4033179999999998,2.8066359999999997e-06,182.629901,0.000365259802
extract.py:107(alphabeta_features),500000,50,alphabeta,500001,14.932362,2.986466427067146e-05,291.408575,0.0005828159843680312
extract.py:14(<module>),500000,50,alphabeta,1,2.8e-05,2.8e-05,0.76481,0.76481
extract.py:34(compute_tree),500000,50,alphabeta,1,0.39267599999999997,0.39267599999999997,0.41490299999999997,0.41490299999999997
__init__.py:4(<module>),500000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),500000,50,alphabeta,1,0.001882,0.001882,24.452873,24.452873
io.py:82(write_features),500000,50,alphabeta,1,1.47777,1.47777,307.173788,307.173788
io.py:5(<module>),500000,50,alphabeta,1,1.2e-05,1.2e-05,0.015519,0.015519
features.py:54(normalized_eigenvalues),5000,50,alphabeta,5000,0.026816999999999997,5.363399999999999e-06,0.056766,1.13532e-05
features.py:72(triangle_variance_space),5000,50,alphabeta,5000,0.026740999999999997,5.3482e-06,0.083507,1.67014e-05
features.py:6(<module>),5000,50,alphabeta,1,7e-06,7e-06,0.29649,0.29649
extract.py:40(build_neighborhood),5000,50,alphabeta,5000,0.015749,3.1498e-06,0.5704699999999999,0.00011409399999999998
extract.py:63(fitted_pca),5000,50,alphabeta,5000,0.012353999999999999,2.4707999999999997e-06,1.680221,0.0003360442
extract.py:107(alphabeta_features),5000,50,alphabeta,5001,0.124779,2.4950809838032395e-05,2.459642,0.0004918300339932013
extract.py:14(<module>),5000,50,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.798254,0.798254
extract.py:34(compute_tree),5000,50,alphabeta,1,0.000439,0.000439,0.000665,0.000665
__init__.py:4(<module>),5000,50,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),5000,50,alphabeta,1,0.0023409999999999998,0.0023409999999999998,24.572155,24.572155
io.py:82(write_features),5000,50,alphabeta,1,0.013210999999999999,0.013210999999999999,2.605861,2.605861
io.py:5(<module>),5000,50,alphabeta,1,1.1e-05,1.1e-05,0.013392999999999999,0.013392999999999999
features.py:54(normalized_eigenvalues),100000,50,alphabeta,100000,0.538766,5.38766e-06,1.135918,1.135918e-05
features.py:72(triangle_variance_space),100000,50,alphabeta,100000,0.543253,5.43253e-06,1.679171,1.679171e-05
features.py:6(<module>),100000,50,alphabeta,1,9e-06,9e-06,0.27924299999999996,0.27924299999999996
extract.py:40(build_neighborhood),100000,50,alphabeta,100000,0.339126,3.3912599999999998e-06,14.000601999999999,0.00014000602
extract.py:63(fitted_pca),100000,50,alphabeta,100000,0.255861,2.5586100000000002e-06,33.934529999999995,0.00033934529999999995
extract.py:107(alphabeta_features),100000,50,alphabeta,100001,2.6791609999999997,2.679134208657913e-05,52.325584,0.000523250607493925
extract.py:14(<module>),100000,50,alphabeta,1,2.6e-05,2.6e-05,0.8026329999999999,0.8026329999999999
extract.py:34(compute_tree),100000,50,alphabeta,1,0.027299999999999998,0.027299999999999998,0.032119999999999996,0.032119999999999996
__init__.py:4(<module>),100000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),100000,50,alphabeta,1,0.0015199999999999999,0.0015199999999999999,24.914548,24.914548
io.py:82(write_features),100000,50,alphabeta,1,0.27241699999999996,0.27241699999999996,55.165205,55.165205
io.py:5(<module>),100000,50,alphabeta,1,1.6e-05,1.6e-05,0.010783,0.010783
features.py:54(normalized_eigenvalues),1000000,50,alphabeta,1000000,5.942945,5.942945e-06,12.437667,1.2437667e-05
features.py:72(triangle_variance_space),1000000,50,alphabeta,1000000,5.675096,5.675096e-06,18.112762999999998,1.8112762999999996e-05
features.py:6(<module>),1000000,50,alphabeta,1,7e-06,7e-06,0.295162,0.295162
extract.py:40(build_neighborhood),1000000,50,alphabeta,1000000,3.4958419999999997,3.4958419999999995e-06,172.671911,0.000172671911
extract.py:63(fitted_pca),1000000,50,alphabeta,1000000,2.8326789999999997,2.8326789999999996e-06,367.764408,0.000367764408
extract.py:107(alphabeta_features),1000000,50,alphabeta,1000001,29.798267,2.9798237201762797e-05,589.74384,0.0005897432502567497
extract.py:14(<module>),1000000,50,alphabeta,1,2.6e-05,2.6e-05,0.8521409999999999,0.8521409999999999
extract.py:34(compute_tree),1000000,50,alphabeta,1,1.355486,1.355486,1.396491,1.396491
__init__.py:4(<module>),1000000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),1000000,50,alphabeta,1,0.0020529999999999997,0.0020529999999999997,24.949227999999998,24.949227999999998
io.py:82(write_features),1000000,50,alphabeta,1,2.925683,2.925683,621.143249,621.143249
io.py:5(<module>),1000000,50,alphabeta,1,1.2e-05,1.2e-05,0.014341,0.014341
