function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_tume,cum_time_per_call
features.py:54(normalized_eigenvalues),50000,20,alphabeta,50000,0.27691,5.5382e-06,0.572819,1.145638e-05
features.py:72(triangle_variance_space),50000,20,alphabeta,50000,0.26537099999999997,5.307419999999999e-06,0.83819,1.67638e-05
features.py:6(<module>),50000,20,alphabeta,1,6e-06,6e-06,0.230592,0.230592
extract.py:81(alphabeta_features),50000,20,alphabeta,50001,1.265493,2.530935381292374e-05,27.378458,0.0005475582088358233
extract.py:14(<module>),50000,20,alphabeta,1,1.9999999999999998e-05,1.9999999999999998e-05,0.753879,0.753879
extract.py:33(build_neighborhood),50000,20,alphabeta,50000,0.18040299999999998,3.6080599999999996e-06,9.285784,0.00018571568
__init__.py:4(<module>),50000,20,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),50000,20,alphabeta,1,0.00208,0.00208,23.046933,23.046933
io.py:82(write_features),50000,20,alphabeta,1,0.12043899999999999,0.12043899999999999,28.778236,28.778236
io.py:5(<module>),50000,20,alphabeta,1,8e-06,8e-06,0.014400999999999999,0.014400999999999999
features.py:54(normalized_eigenvalues),1000,20,alphabeta,1000,0.0064659999999999995,6.466e-06,0.013500999999999999,1.3500999999999998e-05
features.py:72(triangle_variance_space),1000,20,alphabeta,1000,0.0059229999999999994,5.922999999999999e-06,0.019424,1.9424e-05
features.py:6(<module>),1000,20,alphabeta,1,6e-06,6e-06,0.231125,0.231125
extract.py:81(alphabeta_features),1000,20,alphabeta,1001,0.027704,2.7676323676323676e-05,0.563383,0.0005628201798201798
extract.py:14(<module>),1000,20,alphabeta,1,2.1e-05,2.1e-05,0.8472989999999999,0.8472989999999999
extract.py:33(build_neighborhood),1000,20,alphabeta,1000,0.003825,3.825e-06,0.157712,0.00015771199999999998
__init__.py:4(<module>),1000,20,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),1000,20,alphabeta,1,0.002227,0.002227,25.319025,25.319025
io.py:82(write_features),1000,20,alphabeta,1,0.003145,0.003145,0.59638,0.59638
io.py:5(<module>),1000,20,alphabeta,1,9.999999999999999e-06,9.999999999999999e-06,0.019191,0.019191
features.py:54(normalized_eigenvalues),1000,50,eigenvalues,2000,0.008945999999999999,4.472999999999999e-06,0.017551999999999998,8.775999999999999e-06
features.py:72(triangle_variance_space),1000,50,eigenvalues,1000,0.005572,5.571999999999999e-06,0.014891999999999999,1.4891999999999999e-05
features.py:115(compute_3D_features),1000,50,eigenvalues,1000,0.011609999999999999,1.1609999999999999e-05,0.034834,3.4834e-05
features.py:6(<module>),1000,50,eigenvalues,1,9e-06,9e-06,0.291975,0.291975
extract.py:124(eigen_features),1000,50,eigenvalues,1001,0.034745,3.4710289710289705e-05,0.59192,0.0005913286713286714
extract.py:14(<module>),1000,50,eigenvalues,1,2.9e-05,2.9e-05,0.8594769999999999,0.8594769999999999
extract.py:33(build_neighborhood),1000,50,eigenvalues,1000,0.003904,3.904e-06,0.154742,0.000154742
__init__.py:4(<module>),1000,50,eigenvalues,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),1000,50,eigenvalues,1,0.002473,0.002473,22.469604999999998,22.469604999999998
io.py:82(write_features),1000,50,eigenvalues,1,0.0034389999999999998,0.0034389999999999998,0.641091,0.641091
io.py:5(<module>),1000,50,eigenvalues,1,9.999999999999999e-06,9.999999999999999e-06,0.014322999999999999,0.014322999999999999
features.py:12(accumulation_2d_neighborhood),10000,100,full,1,9.7e-05,9.7e-05,0.038003999999999996,0.038003999999999996
features.py:54(normalized_eigenvalues),10000,100,full,20000,0.113316,5.6658e-06,0.21842499999999998,1.092125e-05
features.py:72(triangle_variance_space),10000,100,full,10000,0.068239,6.823899999999999e-06,0.17082999999999998,1.7083e-05
features.py:115(compute_3D_features),10000,100,full,10000,0.128473,1.28473e-05,0.38890399999999997,3.8890399999999996e-05
features.py:148(compute_2D_features),10000,100,full,10000,0.056783999999999994,5.6784e-06,0.09054899999999999,9.054899999999999e-06
features.py:168(compute_3D_properties),10000,100,full,10000,0.07887899999999999,7.8879e-06,0.8881009999999999,8.881009999999999e-05
features.py:211(<listcomp>),10000,100,full,10000,2.1104499999999997,0.00021104499999999998,2.208488,0.0002208488
features.py:195(compute_2D_properties),10000,100,full,10000,0.07342599999999999,7.342599999999999e-06,2.3172449999999998,0.00023172449999999997
features.py:218(verticality_coefficient),10000,100,full,10000,0.030205,3.0204999999999997e-06,0.034837,3.4836999999999998e-06
features.py:6(<module>),10000,100,full,1,9e-06,9e-06,0.294921,0.294921
extract.py:56(retrieve_accumulation_features),10000,100,full,10000,0.246585,2.46585e-05,53.601268,0.0053601268
extract.py:183(all_features),10000,100,full,10001,0.743717,7.436426357364263e-05,68.310649,0.006830381861813818
extract.py:14(<module>),10000,100,full,1,2.6e-05,2.6e-05,0.856387,0.856387
extract.py:33(build_neighborhood),10000,100,full,10000,0.052501,5.2501e-06,2.50331,0.000250331
__init__.py:4(<module>),10000,100,full,1,0.0,0.0,0.0,0.0
io.py:14(xyz),10000,100,full,1,0.0014629999999999999,0.0014629999999999999,22.045636,22.045636
io.py:82(write_features),10000,100,full,1,0.061494,0.061494,69.215954,69.215954
io.py:5(<module>),10000,100,full,1,9.999999999999999e-06,9.999999999999999e-06,0.014705999999999999,0.014705999999999999
features.py:54(normalized_eigenvalues),50000,100,eigenvalues,100000,0.519652,5.19652e-06,1.027023,1.027023e-05
features.py:72(triangle_variance_space),50000,100,eigenvalues,50000,0.305019,6.1003799999999995e-06,0.8422769999999999,1.684554e-05
features.py:115(compute_3D_features),50000,100,eigenvalues,50000,0.6743939999999999,1.3487879999999999e-05,2.001668,4.003336e-05
features.py:6(<module>),50000,100,eigenvalues,1,7e-06,7e-06,0.29212699999999997,0.29212699999999997
extract.py:124(eigen_features),50000,100,eigenvalues,50001,2.2311099999999997,4.4621307573848516e-05,38.745222999999996,0.0007748889622207555
extract.py:14(<module>),50000,100,eigenvalues,1,2.4e-05,2.4e-05,0.900964,0.900964
extract.py:33(build_neighborhood),50000,100,eigenvalues,50000,0.21354199999999998,4.270839999999999e-06,13.590031,0.00027180062
__init__.py:4(<module>),50000,100,eigenvalues,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,100,eigenvalues,1,0.001509,0.001509,25.498531,25.498531
